geoid,geography,short_name,county,poverty_rate_total,poverty_rate_deep,poverty_rate_notdeep,child_poverty_rate_total,child_poverty_rate_deep,child_poverty_rate_notdeep
5000363550,county subdivision,Shaftsbury , Bennington County,10.7,4.7,6,19.9,7.7,12.2
5001779975,county subdivision,West Fairlee , Orange County,10.7,5.9,4.8,14.2,10.9,3.3
5001936325,county subdivision,Jay , Orleans County,10.7,7.5,3.1,14.3,14.3,
5000906325,county subdivision,Bloomfield , Essex County,10.6,2.5,8.1,17.9,,17.9
5001161750,county subdivision,St. Albans , Franklin County,10.6,2.8,7.8,6,,6
5001913150,county subdivision,Charleston , Orleans County,10.6,3.9,6.6,4.8,,4.8
5002116825,county subdivision,Danby , Rutland County,10.6,2.8,7.9,17.9,1.7,16.2
5002386125,county subdivision,Worcester , Washington County,10.6,6.4,4.2,20.8,13.7,7.1
5001171725,county subdivision,Swanton , Franklin County,10.5,4.6,5.9,9,3.7,5.3
5002531150,county subdivision,Halifax , Windham County,10.4,4.2,6.2,17.6,13.5,4.1
5002782000,county subdivision,Weston , Windsor County,10.4,5.1,5.3,13.1,3,10.1
5000144350,county subdivision,Middlebury , Addison County,10.3,4.4,5.9,10.8,4.7,6.1
5000502875,county subdivision,Barnet , Caledonia County,10.3,2.8,7.4,7.1,,7.1
5000564075,county subdivision,Sheffield , Caledonia County,10.3,0.4,9.8,6.1,,6.1
5000942475,county subdivision,Maidstone , Essex County,10.3,2.1,8.2,17.6,,17.6
5001105425,county subdivision,Berkshire , Franklin County,10.3,1.7,8.6,9.7,,9.7
5001535050,county subdivision,Hyde Park , Lamoille County,10.3,6.5,3.8,15.4,11.5,3.9
5002346000,county subdivision,Montpelier , Washington County,10.3,2.9,7.4,17.1,3.7,13.5
5002758375,county subdivision,Reading , Windsor County,10.2,3.5,6.7,13.3,,13.3
5000165050,county subdivision,Shoreham , Addison County,10.1,6.2,3.9,15,9.3,5.7
5001523500,county subdivision,Eden , Lamoille County,10.1,3.7,6.4,8.8,1.3,7.5
5001758075,county subdivision,Randolph , Orange County,10.1,5.6,4.5,13.1,8.4,4.7
5001784175,county subdivision,Williams, Orange County,10,2.3,7.7,8.9,,8.9
5001935575,county subdivision,Irasburg , Orleans County,10,1.3,8.6,10.1,,10.1
5000174650,county subdivision,Vergennes , Addison County,9.9,4.8,5.1,11.8,9.4,2.4
5002311350,county subdivision,Calais , Washington County,9.9,4.2,5.7,13.9,5.7,8.2
5002528900,county subdivision,Grafton , Windham County,9.9,4.8,5.1,20.2,14.7,5.4
5000554400,county subdivision,Peacham , Caledonia County,9.8,3.4,6.4,11.9,,11.9
5002135425,county subdivision,Ira , Rutland County,9.8,3.4,6.3,16.1,3.2,12.9
5002574800,county subdivision,Vernon , Windham County,9.8,5.5,4.3,14.1,11,3.1
5001916300,county subdivision,Craftsbury , Orleans County,9.7,5,4.7,7.4,3.7,3.7
5002701300,county subdivision,Andover , Windsor County,9.6,2.9,6.7,12.4,,12.4
5000108575,county subdivision,Bridport , Addison County,9.4,3,6.4,12.3,7.5,4.8
5000357025,county subdivision,Pownal , Bennington County,9.4,2.2,7.1,10.6,3.1,7.5
